step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
140.0,1,30.0,6.0,10.525360667559834,1,30.0,0.7426295100705143,1,30.0
145.0,1,35.0,7.0,9.095634624563719,1,35.0,0.6538463031381048,1,35.0
150.0,2,43.0,7.166666666666667,8.438701321662544,2,43.0,0.6121587778122655,2,43.0
155.0,2,53.0,6.625,9.64835787502553,2,53.0,0.6994170302600313,2,53.0
160.0,2,63.0,7.875,10.186880825138815,2,63.0,0.7313485415838504,2,63.0
165.0,2,73.0,9.125,9.222372079126519,2,73.0,0.6532625718653334,2,73.0
170.0,3,87.0,9.666666666666666,7.967207201178324,3,87.0,0.5598739265580978,3,87.0
175.0,4,107.0,9.727272727272727,8.422349783981367,4,107.0,0.5948244637191916,4,107.0
180.0,4,127.0,9.76923076923077,9.245147835509952,4,127.0,0.6524446077205275,4,127.0
185.0,4,147.0,9.8,9.842936960323575,4,147.0,0.6965503516781303,4,147.0
190.0,4,167.0,10.4375,10.375369740681993,4,167.0,0.7268494079390356,4,167.0
195.0,4,187.0,11.0,10.645957419994758,4,187.0,0.7350230283536346,4,187.0
200.0,4,207.0,11.5,10.660084292845728,4,207.0,0.7317365500597333,4,207.0
205.0,4,227.0,11.947368421052632,10.45462037831799,4,227.0,0.7222842055832895,4,227.0
210.0,5,250.0,13.157894736842104,10.092820171147162,5,250.0,0.6933449974589302,5,250.0
215.0,5,275.0,13.75,10.094819580780753,5,275.0,0.6916513224240545,5,275.0
220.0,5,300.0,15.0,10.3234359847146,5,300.0,0.6917363702840146,5,300.0
225.0,5,325.0,15.476190476190476,10.304233449317731,5,325.0,0.6580191862051115,5,325.0
230.0,2,180.0,7.826086956521739,10.139932819916533,2,180.0,0.7617672361871671,2,180.0
235.0,3,195.0,8.125,10.237314051040883,3,195.0,0.6933391933417821,3,195.0
240.0,5,216.0,8.64,10.453695397449643,5,216.0,0.650890440940738,5,216.0
245.0,5,241.0,9.26923076923077,10.804896942202923,5,241.0,0.6653927385466955,5,241.0
250.0,4,255.0,10.2,10.88031877544144,4,255.0,0.7169042086377395,4,255.0
255.0,4,275.0,10.576923076923077,11.060156042198596,4,275.0,0.7064358194603201,4,275.0
260.0,4,295.0,11.346153846153847,10.995645588004434,4,295.0,0.6758794510885859,4,295.0
265.0,5,318.0,11.777777777777779,10.398301295019754,5,318.0,0.5853341277282766,5,318.0
270.0,5,340.0,12.592592592592593,10.288220862949215,5,340.0,0.6278858039308195,5,340.0
275.0,5,365.0,12.586206896551724,10.576075943663959,5,365.0,0.6652623358409153,5,365.0
280.0,4,375.0,12.931034482758621,10.86461430705786,4,375.0,0.7099697647027257,4,375.0
285.0,5,396.0,13.655172413793103,10.895592022682179,5,396.0,0.6862871594991986,5,396.0
290.0,4,415.0,15.37037037037037,10.195186910018393,4,415.0,0.6271326270906676,4,415.0
295.0,6,444.0,17.076923076923077,9.89033468236564,6,444.0,0.5784967474170198,6,444.0
300.0,5,465.0,17.884615384615383,9.395894609588767,5,465.0,0.590845746409394,5,465.0
305.0,7,495.0,19.8,9.299007768565845,7,495.0,0.5457329980933483,7,495.0
310.0,7,530.0,21.2,9.600827436223646,7,530.0,0.5147567143357975,7,530.0
315.0,6,552.0,23.0,9.651478169837679,6,552.0,0.5374455837804298,6,552.0
320.0,6,582.0,23.28,10.152516896262712,6,582.0,0.5837659816750539,6,582.0
325.0,6,612.0,24.48,9.787989858414033,6,612.0,0.5179339521240368,6,612.0
330.0,7,647.0,26.958333333333332,9.227362438770312,7,647.0,0.47802179972786096,7,647.0
335.0,7,682.0,24.357142857142858,9.792979441356845,7,682.0,0.5482506315682911,7,682.0
340.0,4,615.0,21.964285714285715,10.352832776866236,4,615.0,0.7191208242053281,4,615.0
345.0,4,635.0,21.896551724137932,10.371244228642823,4,635.0,0.6634408731811168,4,635.0
350.0,4,655.0,21.833333333333332,10.633970993147782,4,655.0,0.6992040185710506,4,655.0
355.0,4,675.0,21.09375,11.330033235000911,4,675.0,0.754278560377272,4,675.0
